iter	Passed	Remaining
0	1	135
1	2	138
2	4	138
3	5	129
4	6	128
5	9	148
6	11	148
7	12	144
8	13	139
9	15	136
10	16	135
11	18	133
12	19	131
13	20	128
14	23	130
15	24	128
16	25	125
17	27	124
18	28	122
19	30	120
20	31	117
21	32	116
22	34	114
23	35	112
24	37	112
25	38	110
26	40	108
27	41	106
28	43	105
29	44	103
30	45	102
31	47	100
32	48	98
33	49	97
34	51	95
35	54	96
36	56	95
37	57	93
38	58	91
39	60	90
40	61	88
41	62	85
42	63	83
43	64	82
44	65	80
45	68	80
46	69	78
47	71	77
48	72	75
49	73	73
50	75	72
51	76	70
52	77	68
53	79	67
54	79	65
55	81	64
56	83	63
57	85	61
58	86	60
59	88	58
60	90	57
61	92	56
62	93	55
63	95	53
64	97	52
65	99	51
66	101	49
67	102	48
68	103	46
69	105	45
70	106	43
71	107	41
72	109	40
73	110	38
74	112	37
75	114	36
76	115	34
77	117	33
78	118	31
79	119	29
80	120	28
81	122	26
82	123	25
83	125	23
84	127	22
85	128	20
86	129	19
87	131	17
88	132	16
89	133	14
90	135	13
91	136	11
92	137	10
93	139	8
94	140	7
95	143	5
96	144	4
97	146	2
98	147	1
99	148	0
