iter	Passed	Remaining
0	191	190942
1	193	96362
2	194	64731
3	196	49008
4	199	39657
5	201	33333
6	202	28794
7	204	25383
8	206	22724
9	208	20593
10	209	18826
11	210	17359
12	213	16197
13	215	15156
14	217	14251
15	218	13433
16	219	12701
17	220	12042
18	221	11453
19	222	10918
20	223	10436
21	224	9998
22	227	9678
23	229	9326
24	230	8990
25	231	8677
26	232	8386
27	233	8115
28	234	7863
29	235	7628
30	237	7409
31	238	7200
32	239	7004
33	241	6862
34	242	6699
35	244	6540
36	245	6387
37	246	6242
38	247	6100
39	248	5971
40	249	5844
41	250	5724
42	252	5610
43	253	5501
44	255	5415
45	256	5325
46	258	5232
47	259	5155
48	260	5065
49	261	4977
50	262	4893
51	263	4811
52	264	4734
53	265	4658
54	266	4586
55	267	4516
56	269	4461
57	271	4408
58	272	4348
59	273	4286
60	274	4226
61	275	4169
62	276	4113
63	277	4059
64	278	4006
65	279	3955
66	280	3905
67	281	3857
68	282	3811
69	284	3780
70	286	3742
71	287	3700
72	288	3659
73	289	3618
74	290	3580
75	291	3543
76	292	3507
77	293	3472
78	294	3437
79	295	3403
80	297	3370
81	299	3355
82	300	3320
83	301	3291
84	302	3260
85	303	3229
86	304	3199
87	306	3171
88	307	3143
89	308	3117
90	309	3090
91	310	3064
92	311	3038
93	314	3029
94	315	3009
95	317	2987
96	318	2963
97	319	2939
98	320	2916
99	321	2894
100	322	2872
101	323	2850
102	324	2829
103	326	2808
104	328	2798
105	329	2780
106	330	2762
107	332	2743
108	333	2724
109	334	2708
110	336	2694
111	337	2677
112	338	2660
113	340	2643
114	341	2625
115	343	2617
116	344	2601
117	346	2587
118	347	2570
119	348	2553
120	349	2537
121	350	2519
122	351	2504
123	352	2490
124	353	2477
125	355	2464
126	358	2461
127	359	2450
128	361	2438
129	362	2424
130	363	2411
131	364	2398
132	365	2385
133	367	2373
134	368	2360
135	369	2347
136	370	2334
137	373	2331
138	374	2320
139	375	2307
140	376	2295
141	377	2280
142	378	2268
143	379	2256
144	381	2247
145	382	2238
146	383	2228
147	385	2217
148	388	2220
149	390	2213
150	391	2203
151	393	2192
152	394	2183
153	395	2174
154	397	2166
155	398	2156
156	399	2146
157	401	2142
158	403	2134
159	404	2124
160	405	2112
161	406	2103
162	407	2094
163	409	2085
164	410	2077
165	411	2069
166	412	2059
167	413	2050
168	416	2048
169	418	2042
170	419	2035
171	420	2026
172	422	2018
173	423	2010
174	424	2001
175	425	1993
176	426	1984
177	429	1982
178	430	1974
179	431	1966
180	432	1958
181	434	1950
182	435	1942
183	436	1935
184	437	1929
185	439	1922
186	440	1915
187	441	1907
188	444	1905
189	445	1898
190	446	1890
191	447	1883
192	448	1875
193	449	1867
194	450	1860
195	451	1852
196	452	1844
197	453	1836
198	454	1829
199	455	1821
200	456	1814
201	458	1812
202	460	1806
203	461	1799
204	462	1792
205	463	1785
206	464	1778
207	465	1771
208	466	1764
209	467	1757
210	468	1750
211	469	1743
212	470	1736
213	471	1730
214	473	1727
215	474	1721
216	475	1715
217	477	1711
218	478	1705
219	479	1699
220	480	1693
221	481	1686
222	482	1680
223	483	1674
224	484	1667
225	485	1661
226	487	1659
227	488	1654
228	489	1648
229	490	1642
230	491	1636
231	492	1630
232	493	1624
233	494	1619
234	495	1613
235	496	1607
236	497	1601
237	498	1595
238	499	1590
239	500	1585
240	502	1582
241	503	1578
242	504	1572
243	505	1567
244	506	1561
245	507	1556
246	508	1551
247	509	1545
248	510	1540
249	511	1534
250	512	1529
251	513	1524
252	514	1518
253	516	1516
254	518	1514
255	519	1509
256	522	1510
257	524	1508
258	525	1504
259	526	1499
260	528	1495
261	529	1490
262	531	1489
263	532	1485
264	534	1481
265	535	1478
266	536	1473
267	537	1469
268	539	1465
269	540	1460
270	541	1456
271	542	1451
272	543	1447
273	545	1446
274	547	1443
275	548	1439
276	549	1434
277	550	1430
278	551	1426
279	552	1421
280	554	1417
281	555	1413
282	556	1408
283	557	1404
284	559	1404
285	561	1401
286	562	1397
287	563	1393
288	564	1389
289	565	1384
290	566	1380
291	567	1376
292	568	1372
293	569	1368
294	570	1363
295	571	1359
296	573	1356
297	574	1354
298	576	1350
299	577	1346
300	578	1342
301	579	1338
302	580	1335
303	581	1331
304	582	1327
305	583	1323
306	584	1319
307	585	1316
308	586	1312
309	589	1311
310	590	1308
311	591	1305
312	592	1301
313	593	1297
314	595	1293
315	596	1290
316	597	1286
317	598	1283
318	599	1279
319	600	1276
320	601	1272
321	603	1270
